企業名,勤務地,給与,初年度年収
株式会社エアコン名人 ,＼今年4月からの新拠点で活躍！／ 東京都杉並区本天沼2−47−20　第5榎本ビル1階,月給23万円以上＋交通費 ※経験・スキル等を考慮し、弊社規定により決定いたします。 ※上記には固定残…,初年度年収のデータなし
東京商工会議所 ,原則東京23区内での勤務となります。 【本部】 東京都千代田区丸の内3-2-2 丸の内二重橋ビル…,"月給21万1,520円以上 ※上記は2021年度支給予定の新卒初任給です。 　経験、年齢等を考慮し、弊所規程に…",350万円～500万円
株式会社キーワーズ・インターナショナル ,★転勤なし ★九段下駅から徒歩6分の好立地です！ ★一時的に在宅勤務、テレワークも可能です。 東京…,年俸600万円〜800万円 月収例：50万円〜67万円 ※あなたの経験・スキルを考慮して決定いたします。 イン…,600万円～800万円
株式会社アディコム ,＊---アクセス抜群！『大宮駅』徒歩5分---＊ 【本社】 埼玉県さいたま市大宮区下町2-18　T…,"月給:254,766円〜 ※スキル・経験を考慮して、当社規定により決定します。 ※みなし残業代（月45時間分…",300万円～400万円
株式会社メイツ中国 ,《U・Iターン歓迎！》 ■広島本社 広島県広島市中区胡町4-21 朝日生命広島胡町ビル ◎「胡町駅…,月給22万円 〜 30万円 +諸手当＋賞与年2回 ※経験を考慮の上、当社規定により優遇いたします。 ※試用期…,350万円～450万円
株式会社ドゥベスト ,《「北浜」駅より徒歩2分》大阪市中央区道修町1-7-10 ◎転居を伴う転勤はありません。U・Iター…,◆月給26万円以上+諸手当+決算賞与（業績による） ※経験・能力を考慮の上、当社規定により優遇いたしま…,初年度年収のデータなし
株式会社大五 ,★転勤ナシ・駅徒歩3分の好立地★ 本社／大阪市西区阿波座2-4-23　西本町大五ビル 《アクセス》…,月給：19万5000円以上 ※経験・能力を考慮し、当社規定により決定致します ※試用期間3ヶ月あり(給与・…,初年度年収のデータなし
Teleperformance Japan株式会社 ,日本全国から勤務可！（自宅にてフルリモート） 〜テレワーク勤務のため、あなたのお住いの場所で働けま…,月給20万1600円〜＋残業代 ※試用期間最大6ヵ月（待遇変更なし） ※正社員登用の可能性あり,241万円～324万円
株式会社レボル ,【本社】埼玉県川口市川口4-3-40 └JR京浜東北線「川口駅」西口より徒歩5分 ※直行直帰やテレ…,【月給】23万円〜35万円 ※経験、能力により加給・優遇いたします ※3か月の試用期間中も同条件です ※…,300万円～500万円
紘永工業株式会社 ,本社勤務となります。 ◆本社 神奈川県横浜市戸塚区柏尾町191番地2号 《アクセス》「戸塚駅」より…,◆月給20万円〜23万円＋賞与年3回＋各種手当を支給など ※経験・年齢・能力を考慮の上、決定いたします…,初年度年収のデータなし
アラクサラネットワークス株式会社,本社(川崎市)勤務 【本社】 神奈川県川崎市幸区鹿島田1丁目1番2号 新川崎三井ビル西棟13階,月給23万円以上 ※経験・能力を評価の上、弊社規定により優遇いたします。 ※試用期間3ヶ月。期間中の待…,初年度年収のデータなし
株式会社ドリームジャック ,【駅チカ！「西中島南方駅」「新大阪駅」 「南方駅」嬉しい3路線から通勤可能！】 ※直行直帰もOK！…,"月給27万円〜 ＋ 諸手当 ＋ インセンティブ ※上記は最低保証金額です ※固定残業代(20時間相当、3万6,8…",初年度年収のデータなし
株式会社重松商事 ,【転勤なし／直行直帰もOK！】 本社／東京都港区赤坂2-12-21　ディアシティ赤坂西館5階 ※ク…,月給25万円〜30万円＋賞与年最大3回＋諸手当 ※経験・年齢・前職給与を考慮の上、当社規定により優遇しま…,350万円～500万円
鈴与シンワート株式会社 ,★転勤は当面なし／取引先への定期巡回もありません ★「森下駅」徒歩5分 ◆東京都江東区新大橋 ＜ア…,◆管理職 月給:28万円〜50万円＋賞与年2回（平均：基本給4ヶ月分） ◆スタッフ 月給:22万円〜33万円＋賞…,350万円～700万円
株式会社コネクテッド ,【リモートワーク！】【転勤なし】【直行・直帰可】 ※ノートPC(リモート用ツール導入済)と社用携帯…,月給25万円〜50万円＋決算賞与(業績により支給) ※経験・スキルを考慮のうえ、決定します ※固定残業代5…,325万円～600万円
東京都ビジネスサービス株式会社 ,★転勤なし／U・Iターン歓迎！ ★勤務地は希望や通勤を考慮します。 └希望のキャリアプランやライフ…,月給21万円以上+残業代全額支給（別途、賞与年2回） ※経験・スキルを考慮の上 当社規定により優遇いた…,初年度年収のデータなし
株式会社コネクテッド ,【リモートワーク勤務！】【転勤なし】【直行・直帰可】 ※ノートPC(リモート用ツール導入済)と社用…,月給25万円〜50万円＋決算賞与(業績により支給) ※経験・スキルを考慮のうえ、決定します ※固定残業代5…,325万円～600万円
アニーズ株式会社 ,《新宿パークタワー OZONEショールーム勤務》 【転勤なし／テレワーク相談可／「新宿駅」徒歩10…,"実務経験者 月給250,000円〜450,000円 + 諸手当 + 賞与年2回 実務未経験者 月給200,000円以上 + 諸手当 +…",初年度年収のデータなし
株式会社インスピリット ,※本社(東京)または名古屋事業所または客先の営業所での勤務になります。 ※本社または名古屋事業所間…,"月給216,000円以上 ※固定残業代35,300円以上（25時間分）を含む。超過の場合は別途支給いたします。 ※…",初年度年収のデータなし
株式会社セオ ,★複数の駅からアクセスOK！ ★「神保町」「水道橋」「九段下」などから徒歩スグ！ ●本社もしくは、…,月給24万円〜35万円+各種手当 ※年齢・能力・資格を考慮いたします。 ※試用期間6ヶ月（労働条件の変更な…,350万円～600万円
株式会社有明測量開発社 ,◇転勤なし ◇マイカー通勤可(駐車場あり) ◇UIターン歓迎 希望を最大限考慮し、熊本、福岡、山口…,月給18万円〜40万円 ＋ 諸手当 ※年齢、経験、能力を考慮の上、優遇いたします。 ※待遇条件の詳細につい…,300万円～800万円
株式会社エフ・アール・エス ,当社各拠点【東京、福岡、大阪、札幌、名古屋】 ※希望を考慮し決定します。 ※転勤はありません。 ※…,【関東勤務】 月給:32万円〜50万円＋歩合給 ※みなし残業代（20時間分／5万円〜）を含む。 ※超過分は別…,500万円～1000万円
弁護士法人戸田労務経営 ,＼西船橋駅から徒歩1分以内！／ 【所在地】 千葉県船橋市印内町593-1 NST第2ビル7階 【ア…,月給24万6000円〜 ※経験や能力等を考慮の上、規程により決定致します ※試用期間3ヶ月あり（待遇変動…,350万円～450万円
長尾産業株式会社 ,本社／茨城県日立市大みか町4-25-15 ※担当顧客と通勤時間により東海試験センターでのテレワーク…,"月給214,000円〜247,500円（一律手当含む） ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用…",280万円～350万円
株式会社いつも. ,《＊転勤なし＊東京本社勤務》 東京都千代田区有楽町1-12-1 新有楽町ビル7階 ≪アクセス≫ J…,月給：25万円〜36万円＋賞与2回 ※固定残業代を含む ※経験・能力を考慮の上、決定します。 固定残業代…,350万円～500万円
日本ダグラスラボラトリーズ株式会社 ,【転勤なし／U・Iターン歓迎】 ◆東京本社／東京都港区台場2-3-2 台場フロンティアビル2階 ※…,"月給25万5,000円＋資格手当 ※当社規定の資格保有により決定いたします。 ※試用期間6ヶ月あり（期間中の…",300万円～500万円
特許業務法人光陽国際特許事務所 ,◆オフィスは有楽町・日比谷駅からすぐの『東京宝塚ビル』内◆転勤なし 東京都千代田区有楽町1-1-3…,月給26万円〜＋諸手当 ※経験・能力等を最大限考慮しご相談の上で決定します。,300万円～650万円
株式会社アックスコンサルティング ,《転勤なし／恵比寿駅よりすぐ》 ◎週2〜3日のペースでリモートワーク可能！ ◆東京本社／東京都渋谷…,月給25万円以上 *＼経験者は前職の給与を保証します／* ※経験・年齢・前給を考慮のうえ、当社規定によ…,350万円～500万円
株式会社Moff ,【転勤なし！】 ◎リモートワークで基本は取り組んでいただきます。 （出荷作業や在庫管理などで月4〜…,"月給：300,000円以上＋各種諸手当 ※これまででの経験やスキルを最大限考慮し、 　決定いたします。 ※月…",360万円～400万円
旭トステム外装株式会社 ,【全国転勤有り】 長野県長野市、大阪府大阪市にあるいずれかの支店に配属。 ※各営業エリアへ直行直帰…,■月給 21万円〜 + 諸手当（時間外手当・交通費など） + 賞与 ※経験を考慮して、当社規定により優遇致…,400万円～550万円
小松ウオール多摩販売株式会社 ,★転勤ナシ ★マイカー通勤OK(駐車場あり) 【住所】 東京都町田市小野路町2433-1 ＜アクセ…,"月給：23万2,300円〜41万円 ※給与は年齢や経験に応じて決定します。 ※試用期間3ヶ月あり。 (試用期間中…",350万円～450万円
ジェンスクリプトジャパン株式会社 ,＜神田駅徒歩5分・転勤なし・自社ビル＞ 本社／東京都千代田区神田東松下町48 ism神田4F ＜ア…,年俸600万円〜（各種一律手当含む） ※スキル・経験・年齢を考慮の上優遇します。 ※試用期間3カ月（待…,600万円～800万円
小平税理士事務所 ,【本社】札幌市白石区菊水5条3丁目1番30号 ※転勤なし ※U・Iターン歓迎,"月給／184,000円以上 ※税理士資格をお持ちの方は別途手当を支給します。 ※経験・能力を考慮の上、当事…",300万円～450万円
ＣＭＡ株式会社 ,【 リモート勤務 】 ※全国どこでもOK ※在宅によるリモートワークが基本となります。 必要時ユー…,月給25万円〜55万円 ※経験・年齢を考慮し当社規定で優遇いたします。 ※試用期間は2ヶ月あります。（待…,350万円～700万円
株式会社カイエンシステム開発 ,【転勤なし！在宅ワーク実施中！】 東京都渋谷区幡ヶ谷2-27-7　ワコーレ幡ヶ谷ビル5階,月給29.2万円〜45万円 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間3ヶ月（待遇に変更はあ…,350万円～540万円
TBCグループ株式会社 ,本社 （東京都新宿区西新宿1-25-1　新宿センタービル43F） ◆交通費全額支給 ◆転勤なし ◆…,"下記、一律居住地手当（金額は居住エリアにより異なる）を含みます。 ◎東京23区 月給22万7,000円以上 …",300万円～500万円
株式会社内藤一水社 ,本社／東京都千代田区麹町3-2　エヌワンビル ※転勤はありません ※屋内禁煙（喫煙可能場所あり）…,"月給21万2,000円以上 ※上記は、大卒初任給の金額になります。 　年齢、経験、能力を考慮の上、当社規定…",300万円～350万円
フジア株式会社 ,【全国どこでも勤務可能】自宅（100％テレワーク） ※必要に応じて外出の対応、自宅以外での業務、出…,"★時給1100円〜(スキルや経験により変動します) ※試用期間3か月(期間中は時給1050円〜) 【月収例】184,…",初年度年収のデータなし
チェスナットコンサルティング株式会社 ,★転勤なし ★東京本社（港区北青山）での勤務となります ★表参道駅徒歩3分 東京都港区北青山3-5…,月給／22万円〜40万円 ※経験・能力・スキル等を考慮の上、決定します。 ※試用期間3ヶ月（期間中の待遇…,250万円～500万円
株式会社ギャツビー ,本社：東京都港区西麻布3-2-1北辰ビル6F アクセス ・六本木駅より徒歩4分 ・千代田線乃木坂駅…,月給25万円〜 + 賞与年4回 ※業績・評価による ※経験・能力・前職条件に応じて決定。 ※試用期間6ヶ月…,300万円～450万円
株式会社アックスコンサルティング ,《転勤なし／恵比寿駅よりすぐ／ほぼフルリモートOK》 ◆東京本社／東京都渋谷区恵比寿1-19-15…,月給25万円以上 *＼経験者は前職の給与を保証します／* ※経験・年齢・前給を考慮のうえ、当社規定によ…,350万円～500万円
株式会社サンカクカンパニー ,【本社】 東京都渋谷区千駄ヶ谷4-28-4 KSビル8F ★「代々木駅」より徒歩6分、「北参道駅」…,月給／22万〜60万円＋業績賞与 ※経験、能力を考慮のうえ、決定いたします ※上記には、固定残業代（5万7…,300万円～700万円
株式会社玉井 ,東京、神奈川、埼玉、群馬、千葉にある 寝具専門店『スリープスクエア』『ショコリブ＆ピローズ』 ★U…,月給22万円〜30万円 ★別途、賞与や残業手当（100％支給）などがあります。 ★上記金額はあくまで最低保…,初年度年収のデータなし
株式会社プレイングネットワーク ,※転勤なし ◆東京都千代田区神田須田町1-5　翔和須田町ビル8F 《アクセス》 JR・地下鉄各線「…,月給20万円〜25万円＋諸手当＋賞与年2回 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間3か…,300万円～400万円
株式会社タスネット ,首都圏エリア(東京都内、神奈川県、埼玉県、千葉県など)の各プロジェクト先 ※希望を最大限に考慮し、…,月給23万9000円以上 ※経験・能力・前給等を考慮して、 お互いが納得の上で決定致します。 ※残業代は別…,初年度年収のデータなし
有限会社ソフトスタジオ ,＼転勤なし／＼UIターン歓迎／ ◇ 鹿児島県鹿児島市草牟田2丁目9-1 正栄ビル2F,月給18万6000円〜35万円 ＜モデル例＞ ・月収32万円（月給＋諸手当）／32歳 ・月収27万円（月給＋諸手…,初年度年収のデータなし
株式会社エックスラボ ,≪ 転勤なし！アクセスも便利なオフィス ≫ 大阪府大阪市北区豊崎2-7-9 豊崎いずみビル4階 ＜…,月給26万〜35万円＋諸手当+インセンティブ年4回 ※経験やスキルなどを考慮の上、当社規定により優遇しま…,初年度年収のデータなし
阪神ロジテム株式会社 ,兵庫県、大阪府、滋賀県、岡山　の各営業所にて勤務。 ※U・Iターン歓迎 ※営業所によってマイカー通…,月給19万5000円〜 ※管理職スタートの場合は月給30万円〜 ※上記は最低保証金額です ※年齢・経験・能力…,300万円～450万円
株式会社鎌倉新書 ,【社員専用Cafeやお昼寝スペースも◎宝町駅すぐの綺麗な新オフィス！】 ◆所在地 東京都中央区京橋…,"月給29万3,000円〜62万5,000円 ※経験、能力を考慮し、支給額を決定致します。 ※試用期間3ヵ月（待遇変…",480万円～550万円
株式会社シンフィールド ,【転勤なし／U・Iターン歓迎】 東京本社（渋谷区）または福岡支社で勤務いただきます。 ※勤務地は希…,月給25万円〜40万円＋各種手当＋昇給年2回 ※年齢・能力・経験を考慮して決定します。 ※みなし残業代45…,300万円～600万円
芝情報株式会社 ,【転勤なし／3駅使える好アクセス！／テレワークも導入中！】 本社／東京都港区海岸2-1-24 NA…,月給：23万円〜50万円 ＋ 各種手当 ＋ 賞与2回 ※年齢・経験・スキルを考慮の上決定します。 ※試用期間…,350万円～650万円
大有株式会社 ,【中部支店】 愛知県名古屋市天白区中坪町228 ※転勤ナシ,月給20万円〜35万円＋賞与年2回 ※上記給与には、一律手当(セールス手当3万円)を含みます。,350万円～500万円
株式会社D&D ,〒150-0002 東京都渋谷区渋谷1-7-5　青山セブンハイツ802 または東京・神奈川県内の各…,【経験者】 月給30万円〜 ＋ 賞与 ※経験・スキルを考慮の上、決定いたします。 ※試用期間6か月あり（そ…,300万円～550万円
株式会社サンワ ,埼玉県戸田市新曽2002-12　市ヶ谷ビル JR埼京線「北戸田」駅より徒歩1分,初年度年俸制400万円〜650万円 ※年次昇給あり ※当社の規則で年俸の受け取り方は 年俸に対し賞与を10％…,400万円～650万円
株式会社メビウス ,《居住地・希望を考慮》 東京(品川)または、京都(堀川通三条下ル西側)の事業所に配属します。 ………,■月給30万円〜45万円 ※経験・年齢・能力を考慮のうえ優遇します。,初年度年収のデータなし
Network Engineering株式会社 ,◆転勤なし ◆UIターン歓迎 ■鹿児島県鹿児島市西千石町1-32 Wビルディング西千石町9階,月給19万円〜26万円（一律手当含む） ※経験・能力を考慮致します。 ※5ヶ月目から給与査定を随時実施（…,初年度年収のデータなし
株式会社友和産業開発 ,＼転勤なし／＼マイカー通勤OK／＼UIターン歓迎／ □ 宮崎県宮崎市高岡町花見3888（本社） ※…,月給20万円〜35万円 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※最長3ヶ月間の試用期間あ…,初年度年収のデータなし
株式会社EnjoyLifeCompany ,本社（福岡市）もしくは鹿児島支社（鹿児島市） ※転居を伴う転勤はありません ※マイカー・バイク・自…,月給20万円〜45万円＋インセンティブ＋賞与年2回 ※経験・能力を考慮して決定いたします ※上記には月40…,初年度年収のデータなし
株式会社オーバーヘッド東京 ,《転勤なし！》 東京都新宿区西早稲田2-3-26 東西線「早稲田駅」より徒歩5分,◇月給25万円〜 ※経験・能力等を考慮の上、当社規定により優遇します ※試用期間最長6ヶ月あり（期間中…,300万円～450万円
株式会社インコス ,＜転居を伴う転勤はありません/テレワーク導入中！＞ ◆本社 東京都新宿区西新宿7-21-1新宿ロイ…,月給23万〜55万円 ※経験・能力を考慮の上、決定します。 ※試用期間3ヶ月あり/期間中月給：23万円〜（経…,270万円～320万円
国分九州株式会社 ,本社／福岡県福岡市博多区空港前1-2-8 （本社：第一支社 第一支店勤務） ※U・Iターン歓迎 ※…,"【エリア勤務】 月給200,000円〜259,400円 【地域限定勤務】 月給170,500円〜221,500円 ※上記には別途…",初年度年収のデータなし
国分九州株式会社 ,本社／福岡県福岡市博多区空港前1-2-8 ※U・Iターン歓迎 ※転居を伴う転勤のない【地域限定勤務…,"【エリア勤務】 月給200,000円〜259,400円 【地域限定勤務】 月給170,500円〜221,500円 ※上記には別途…",初年度年収のデータなし
株式会社ファーステック ,営業を展開中のエリアにおける直行直帰の営業スタイルです。 （転勤はなく、自宅から直行直帰で勤務して…,◆月給20万円以上+歩合給 ※歩合給は担当エリアの売上額に応じて支給します 　（担当エリアの売上2.5%支…,250万円～1000万円
株式会社クオリア・リンクス ,★転勤なし★新オフィスに移転！ 本社／東京都中央区築地2丁目1番16号　STRADA GINZA…,"経験者：月給50万円以上＋諸手当（交通費全額支給、資格手当、報酬金制度など） 未経験者：月給19万5,00…",600万円～950万円
株式会社JUSCOM ,◎北九州地区プロジェクト、または福岡地区プロジェクト・広島地区プロジェクトいずれかのプロジェクトに…,月給23万円〜50万円 ＋ 諸手当 ※上記はあくまで最低保証額です。年齢、経験、能力を考慮の上、優遇しま…,初年度年収のデータなし
株式会社KEE'S ,【本社】 東京都渋谷区恵比寿4-1-22　恵比寿ネオナートアネックス 2階 ※現在は出社とテレワー…,"月給23万5,000円〜＋インセンティブ＋賞与年2回（最大2ヶ月分/1回）＋残業代全額支給 ※経験・スキルを考…",300万円～450万円
ソニテック株式会社 ,◆仙台営業所／宮城県仙台市宮城野区扇町5-8-15 <アクセス> ・仙石線「福田町駅」徒歩15分…,月給21万〜25万円 経験・能力などを考慮し、優遇します 試用期間6カ月（待遇・給与に変動なし） 上記金…,初年度年収のデータなし
株式会社4COLORS ,★オフィスは「横浜駅」きた西口徒歩約1分★ 神奈川県横浜市神奈川区鶴屋町2-23−2 TSプラザビ…,年俸制／400万円〜 ※別途、交通費を全額支給します。 ※経験・能力・前給を考慮の上、決定いたします。 …,400万円
株式会社アイテム ,東京本社・大阪本社・中部支社(愛知)の3拠点で募集 ※希望の拠点に配属 ※客先常駐は一切なし ※U…,月給30万〜40万円 ※経験やスキル、前職給など考慮の上、決定いたします。 ※試用期間3ヶ月あり(期間中の…,420万円～560万円
岡本株式会社 ,【本社】 大阪府大阪市西区西本町1-11-9 ※転勤はありません。 ※U・Iターン歓迎します。 ※…,月給18万5000円〜27万7000円 ※能力や経験などを考慮して決定します。 ※17時45分以降残業した場合は、…,初年度年収のデータなし
株式会社4COLORS ,★オフィスは「横浜駅」きた西口徒歩約1分★ 神奈川県横浜市神奈川区鶴屋町2-23−2 TSプラザビ…,年俸制／300万円〜400万円 ※別途、交通費を全額支給します。 ※経験・能力・前給を考慮の上、決定いたし…,300万円～400万円
株式会社新泉社 ,【本社】東京都文京区湯島1-2-5　聖堂前ビル４階 ★御茶ノ水駅・秋葉原駅より徒歩7分 ★複数路線…,【経験者】 月給25万円以上 【未経験者】 月給22万円以上 ※経験・能力等を考慮の上、当社規定により…,300万円～500万円
税理士法人NEXPERT ,＜転勤なし ★駅チカ・アクセス良好★ スタイリッシュなNEWオフィス＞ ◎本社 東京都渋谷区神宮前…,■業界経験者：月給35万円〜75万円 ■その他（未経験者含む）：月給23万円〜45万円 ※経験・能力を考慮…,300万円～800万円
株式会社インプレス ,テレワーク中心のため、ご自宅から働けます！ —★転勤なし！神保町駅から徒歩1分。眺めの良い22Fの…,年俸320万円〜 ※経験・年齢を考慮の上、当社規定により優遇します。 ※上記には見込み残業代（月20時間…,320万円～550万円
株式会社アップロード ,《転勤なし！入社後研修以降は現在、基本在宅勤務です！》 ◆【本社】 〒540-6321 大阪府大阪…,＜C言語での開発経験：4年以下の方＞ 月給25万円〜＋各種手当 ＜C言語での開発経験5年以上の方＞ 月給30…,初年度年収のデータなし
ハートフルマンション株式会社 ,★マイカー通勤OK 【本店】 岐阜県可児市下恵土5433-1 …太多線「可児」駅より徒歩12分 ☆…,月給18万円〜23万円+諸手当＋賞与年2回 ※あなたの経験や年齢等を考慮し、支給額を決定します ※試用期…,325万円～410万円
ソリッドシード株式会社 ,【転勤なし／U・Iターン歓迎！】 本社／東京都港区南青山5-4-27 Barbizon104 3階…,月給25万円以上＋賞与年2回 ※【前職の給与】を保証します。 ※経験や能力、前職給与などを踏まえ、相談…,350万円～700万円
日本マルコ株式会社 ,神奈川県横浜市港北区新横浜2-8-8,月給20万円以上 ※能力・資格・経験などを考慮して決定いたします。 ※試用期間3ヵ月あり(待遇に変更なし),250万円～350万円
株式会社グッドネス ,【転勤なし／U・Iターン歓迎！】 大阪本社、松山支社、またはプロジェクト先（大阪府内を中心とした関…,月給23万円〜50万円+諸手当※賞与年2回 ※経験・能力・スキル 等を考慮の上、決定します。 ※試用期間3ヶ…,350万円～600万円
株式会社経理チームみやざき ,★働き方が選べます！ 希望に応じて、リモートワークもできますし、 オフィス出社も可能です。 あなた…,月給25万円〜40万円 + 諸手当　 ※年齢、経験、能力を考慮の上、優遇します。 ※最長6ヶ月間の試用期間あ…,300万円～480万円
株式会社エース事務機 ,《★東京オフィスで積極採用！》《転勤なし！》《新橋駅徒歩5分》 東京都港区新橋2-12-7 労金新…,月給 25万円以上 ※経験・スキル等を考慮して当社規定により決定します。 ※試用期間：3ヶ月（待遇面の変…,400万円～750万円
レスポンス・コンテンツ・サーブ株式会社 ,★転勤なし★ 【本社】 東京都港区六本木7-14-23 ラウンドクロス六本木4F 〜交通アクセス〜…,月給：38万円〜＋賞与年2回 ※経験・能力・スキル等を考慮し、当社規定により決定します。 ※試用期間6…,490万円～550万円
株式会社プロディライト ,★希望に応じて東京支店（東京都中央区） または大阪本社（大阪市中央区）に配属★ 【東京支店】 東京…,月給23万円〜36万円＋賞与年2回 ※能力・経験・年齢などを考慮の上、優遇します,初年度年収のデータなし
株式会社ジールアソシエイツ ,◆転勤なし ◆新富町駅から徒歩1分、築地駅から徒歩3分の駅近！ 【本社】 東京都中央区築地2-3-…,月給34万円〜 ※固定残業代30時間／9万円〜を含む。超過分は別途支給 ※経験・能力等を考慮の上当社規定…,408万円～500万円
株式会社NAACS ,【転居を伴う転勤はありません／テレワーク導入中！】 ◆本社 東京都港区浜松町2-2-15　浜松町ダ…,月給24万3281円〜50万円 ※上記金額には固定残業代（45時間分・6万3281円〜）を含みます。超過分は別途…,420万円～600万円
株式会社リッチモア インターナショナル ,【転勤なし】東京都港区白金台5-3-6 白金台セントラルビル4F 【アクセス】 ◆東京メトロ南北線…,月給27〜35万円＋賞与年2回(業績により） ※経験・能力等を考慮し、決定いたします。 ※試用期間3カ月あ…,350万円～450万円
コスモコントロール株式会社 ,東京都葛飾区東金町2-31-9 ＊JR常磐線「金町駅」より徒歩11分 【対応エリア】 東京都／神奈…,月給30万円〜 ※経験・資格・年齢を考慮の上、決定いたします。,360万円～700万円
大津商工会議所 ,《転勤なし》大津市打出浜2-1 コラボしが21 9階（京阪「石場」駅より徒歩3分） ……………………,"月給21万6,000以上（一律地域手当含む） ※上記はあくまで最低保証額です。年齢、経験、能力を考慮の上、…",初年度年収のデータなし
株式会社ディジテック ,【福岡市・北九州市同時募集／駅チカ好立地で働こう！】 ★希望勤務地で活躍優先！ ★転勤なし！ 福岡…,月給22万円以上 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細については、面接などで…,初年度年収のデータなし
株式会社ディジテック ,【福岡市・北九州市同時募集／駅チカ好立地で働こう！】 ★希望勤務地で活躍優先！ ★転勤なし！ 福岡…,月給22万円以上 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細については、面接などで…,初年度年収のデータなし
株式会社デジタルクリエイト ,◎駅チカ！ ◎転勤なし！ 【本社】 東京都千代田区神田西福田町4　ユニゾ神田西福田町ビル8階 ＜交…,月給30万円〜50万円 + 諸手当 + 賞与年2回 ◎経験に応じて、月給40万円以上も可能です！ ※経験・年齢を…,360万円～700万円
石塚化学産業株式会社 ,【本社】東京都北区浮間二丁目12番24号　立石ビル2階 ※将来的には海外含め、全拠点（タイ・大阪・…,月給24〜36万円 ※一律営業手当含む ※経験・年齢を考慮の上、当社規定により優遇します。 《月収例》 …,350万円～500万円
株式会社アクセル・モード ,＜在宅勤務となります＞ 全社員がテレワークでの勤務のため、全国どこでも仕事ができます。 【本社】通…,月給21万円以上＋残業代全額支給＋諸手当＋賞与 ※年齢・経験・スキルによって考慮します ※試用期間6ヶ…,330万円～600万円
株式会社文創 ,東京営業所（清澄白河駅）限定募集！※U・Iターン歓迎 【東京営業所】 東京都江東区平野2-4-1,月給21万5000円〜+賞与／年2回（夏・冬）＋諸手当 ※年齢・経験を考慮の上、決定します。 ※試用期間6ヶ…,320万円～500万円
AGCアメニテック株式会社 ,★転勤なし★現在は週4日でリモートワーク（テレワーク・在宅勤務） 《アクセス》 ＊各線「上野駅」よ…,"月給210,000円〜268,000円　+各種手当+賞与年2回（4.7カ月分） ※前職・経験・年齢を考慮の上決定いたし…",391万円～686万円
富士智能株式会社 ,【転勤なし／駅近オフィス／テレワークOK】 ☆本社、または東京・神奈川の各プロジェクト先での勤務と…,月給40万円以上 ※経験・スキルなどを考慮のうえ、決定します。,480万円～900万円
富士智能株式会社 ,【転勤なし／駅近オフィス／テレワークOK】 ■本社 東京都港区三田3-4-18 二葉ビル903号室…,月給35万円〜 ※経験・スキルなどを考慮のうえ、決定します。,420万円～1000万円
株式会社ムトー ,【 転勤なし★岐阜県笠松町 or 名古屋市 】 ※通勤手当支給 ▼アルミ本部(マイカー通勤OK)…,【 月給18万円〜40万円＋諸手当 】 ※今回の転職が不利にならないよう 　あなたの経験・年齢を考慮の上…,350万円～650万円
株式会社極東電視台 ,【転勤なし／週の半分はテレワーク／U・Iターン歓迎！】 本社／東京都港区赤坂7-10-17　フォン…,月給：22万円〜35万円 ※経験・年齢・スキルを考慮の上、当社規定により優遇いたします。 ※上記には、固…,300万円～500万円
株式会社ユニビジョン ,東京都品川区西五反田7-24-4　KUビル8F 【アクセス】 各線「五反田駅」より徒歩9分 東急目…,月給：25万円以上 ※経験・スキル・年齢を考慮の上、決定します。,初年度年収のデータなし
株式会社近代設計 ,オフィス ■東京都目黒区大橋1丁目-5 〇アクセス ・池尻大橋駅より徒歩7分 インフォメーションセ…,月給21万円〜25万円 ※前職および、年齢、経験、能力を考慮の上、決定致します。 ★あなたの頑張り次第…,300万円～400万円
株式会社クォンタムジャンプコンサルティング ,《転勤なし》NTTドコモでの勤務 駅直結の赤坂インターシティAIRのオフィスビル！ 《アクセス》…,月給25万円〜40万円＋残業代 ※あなたのご経験・能力・スキル等を最大限考慮し、決定します。 ※試用期…,300万円～500万円
株式会社内田会計事務所 ,長崎市曙町4番9号 ※転勤なし ※マイカー通勤OK ※U・Iターン歓迎します,月給20万円〜28万円　+　諸手当 ※前職給与を保証します ※最長6ヶ月間の試用期間あり(賃金同一） ※待…,300万円～450万円
株式会社SDI ,【転勤なし♪恵比寿駅すぐの綺麗なオフィスです★】 ◆本社 東京都渋谷区恵比寿西1-18-4 アーム…,◆月給25万円〜30万円+交通費全額支給+賞与年2回 ※経験・能力を考慮し、給与を決定していきます。 ※月…,300万円～500万円
アンブリオリス・ジャパン株式会社 ,【転勤なし／週の半分はリモートワーク！】 本社／東京都渋谷区神南1−15−3神南プラザビル403…,月給20万円〜25万円 ※経験・年齢・能力を十分考慮のうえ、決定します。 ※試用期間3ヶ月あり。その間の…,240万円～300万円
ハリウッド株式会社 ,《駅近！六本木ヒルズ勤務で仕事帰りも充実♪》 東京都港区六本木6丁目4番1号ハリウッドビューティプ…,月給25〜30万円 ※年齢・経験・スキルを考慮して決定致します。 ※試用期間6ヶ月あり。その間は月給20万…,300万円～450万円
